品牌,容量(GB),代际,频率(MHz),单/套条标识,价格,评论数
Brand_C,16,DDR5,5600,16G,1379.0,50000
Brand_C,16,DDR5,5600,16G,1759.0,20000
Brand_D,16,DDR5,5600,16G,1194.0,200
Brand_E,16,DDR5,5600,16G,1399.0,500
Brand_F,16,DDR5,5600,16G,1278.0,500
Brand_G,16,DDR5,5600,16G,1399.0,200000
Brand_H,16,DDR5,5600,16G,1599.0,20000
Brand_H,16,DDR5,5600,16G,1499.0,20000
Brand_G,16,DDR5,5600,2*16G,2799.0,200000
Brand_C,16,DDR5,5600,16G,1655.0,50000
Brand_C,16,DDR5,5600,16G,1699.0,50000
Brand_J,16,DDR5,5600,16G,1399.0,1000
Brand_Q,16,DDR5,5600,2*16G,3539.0,50000
Brand_I,16,DDR5,5600,16G,1420.0,57
Brand_U,16,DDR5,5600,2*16G,2398.0,5000
Brand_Q,8,DDR4 ,3200,8G,429.0,20000
Brand_S,8,DDR4 ,3200,8G,419.0,200000
Brand_L,8,DDR4 ,3200,8G,499.0,20000
Brand_V,8,DDR4 ,3200,8G * 2,821.0,500
Brand_U,8,DDR4 ,3200,8G,429.0,5000
Brand_P,8,DDR4 ,3200,8G,280.0,14000
Brand_L,8,DDR4 ,3200,8G,649.8,20000
Brand_Q,8,DDR4 ,3200,8G,439.0,20000
Brand_P,8,DDR4 ,3200,8G,479.0,14000
Brand_P,8,DDR4 ,3200,8G,479.0,14000
Brand_L,8,DDR4 ,3200,8G,438.0,20000
Brand_Q,8,DDR4 ,3200,8G,399.0,20000
Brand_S,8,DDR4 ,3200,8G,459.0,200000
Brand_P,8,DDR4 ,3200,8G,399.0,14000
Brand_S,8,DDR4 ,3200,8G * 2,874.0,200000
Brand_U,8,DDR4 ,3200,8G * 2,859.0,5000
Brand_L,8,DDR4 ,3200,8G,499.0,20000
Brand_L,8,DDR4 ,3200,8G,290.0,20000
Brand_S,8,DDR4 ,3200,8G,398.0,200000
Brand_S,8,DDR4 ,3200,8G,459.0,200000
Brand_P,8,DDR4 ,3200,8G,469.0,14000
Brand_Q,8,DDR4 ,3200,8G,399.0,20000
Brand_Q,8,DDR4 ,3200,8G,449.0,20000
Brand_L,8,DDR4 ,3200,8G,449.0,20000
Brand_P,8,DDR4 ,3200,8G * 2,1180.0,14000
Brand_P,16,DDR4 ,3200,16G,959.0,14000
Brand_S,16,DDR4 ,3200,16G,849.0,200000
Brand_U,16,DDR4 ,3200,16G,859.0,5000
Brand_S,16,DDR4 ,3200,16G,849.0,200000
Brand_Q,16,DDR4 ,3200,16G,889.0,20000
Brand_U,16,DDR4 ,3200,16G,799.0,5000
Brand_Q,16,DDR4 ,3200,16G,799.0,20000
Brand_U,16,DDR4 ,3200,16G,799.0,5000
Brand_V,16,DDR4 ,3200,16G,838.0,500
