分词,词频
价格,16
客服,13
降价,12
问题,11
就是,11
垃圾,10
不到,9
现在,9
没有,9
知道,9
国产,9
售后,9
使用,9
固态,8
购买,8
支持,8
什么,8
东西,8
速度,8
安装,8
保价,8
价保,7
需要,7
螺丝,6
补贴,6
怎么,6
双十,6
差评,5
这么,5
读取,5
不能,5
电脑,5
系统,5
可以,5
设计,5
读写,5
包装,4
发现,4
态度,4
大家,4
推荐,4
传输速度,4
只能,4
之后,4
商品,4
好评,4
格式,4
无法,4
体验,4
几天,4
真是,4
结果,4
质量,3
直接,3
一样,3
性价比,3
不要,3
重新,3
盒子,3
实际,3
目前,3
识别,3
退货,3
出现,3
笔记本,3
但是,3
申请,3
不是,3
今天,3
简直,3
作为,3
涨价,3
产品,3
只有,3
一直,3
不了,3
多元,3
精准,3
坑人,3
問題,3
而且,3
配件,3
一起,3
质保,3
时间,3
这样,3
服务,3
主板,3
是因为,3
数据,3
简陋,2
弯曲,2
想着,2
视频,2
第一次,2
谨慎,2
店铺,2
极差,2
出来,2
本来,2
