型号,品牌,售价,评论数,标题特征词,内存（G）,储存（G）,独立显卡,显存,组样本数
Model_01,Brand_F,14499.0,20000.0,M5处理器,16.0,1024.0,无,无,11
Model_01,Brand_F,14499.0,20000.0,M5处理器,24.0,512.0,无,无,11
Model_01,Brand_F,15499.0,20000.0,M5处理器,24.0,1024.0,无,无,11
Model_01,Brand_F,15999.0,20000.0,M5处理器,32.0,512.0,无,无,11
Model_01,Brand_F,17499.0,20000.0,M5处理器,16.0,2048.0,无,无,11
Model_01,Brand_F,17499.0,20000.0,M5处理器,32.0,1024.0,无,无,11
Model_01,Brand_F,18999.0,20000.0,M5处理器,24.0,2048.0,无,无,11
Model_01,Brand_F,20499.0,20000.0,M5处理器,32.0,2048.0,无,无,11
Model_01,Brand_F,21999.0,20000.0,M5处理器,16.0,4096.0,无,无,11
Model_01,Brand_F,23499.0,20000.0,M5处理器,24.0,4096.0,无,无,11
Model_01,Brand_F,24999.0,20000.0,M5处理器,32.0,4096.0,无,无,11
Model_02,Brand_B,22998.0,100.0,酷睿Ultra RTX50系,32.0,1024.0,5080,16GB GDDR7,7
Model_02,Brand_B,25997.0,100.0,酷睿Ultra RTX50系,32.0,4096.0,5080,16GB GDDR7,7
Model_02,Brand_B,28096.0,100.0,酷睿Ultra RTX50系,64.0,2048.0,5080,16GB GDDR7,7
Model_02,Brand_B,28696.0,100.0,酷睿Ultra RTX50系,64.0,3072.0,5080,16GB GDDR7,7
Model_02,Brand_B,29795.0,100.0,酷睿Ultra RTX50系,64.0,4096.0,5080,16GB GDDR7,7
Model_02,Brand_B,null,100.0,酷睿Ultra RTX50系,64.0,2048.0,5080,16GB GDDR7,7
Model_02,Brand_B,null,100.0,酷睿Ultra RTX50系,32.0,3072.0,5080,16GB GDDR7,7
Model_02,Brand_B,26798.0,100.0,酷睿Ultra RTX50系,32.0,1024.0,5090,24GB GDDR7,4
Model_02,Brand_B,30998.0,100.0,酷睿Ultra RTX50系,64.0,2048.0,5090,24GB GDDR7,4
Model_02,Brand_B,32298.0,100.0,酷睿Ultra RTX50系,64.0,3072.0,5090,24GB GDDR7,4
Model_02,Brand_B,32598.0,100.0,酷睿Ultra RTX50系,64.0,2048.0,5090,24GB GDDR7,4
Model_03,Brand_E,13405.0,20000.0,AI 酷睿Ultra,32.0,1024.0,无,无,3
Model_03,Brand_E,14038.0,20000.0,AI 酷睿Ultra,32.0,2048.0,无,无,3
Model_03,Brand_E,15095.0,20000.0,AI 酷睿Ultra,32.0,4096.0,无,无,3
Model_04,Brand_E,17499.0,100.0,AI 酷睿Ultra,32.0,1024.0,无,无,2
Model_04,Brand_E,18999.0,100.0,AI 酷睿Ultra,32.0,2048.0,无,无,2
Model_05,Brand_E,10999.0,5400.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5070,12GB GDDR7,2
Model_05,Brand_E,18999.0,5400.0,AI 酷睿Ultra RTX50系,64.0,2048.0,5070,12GB GDDR7,2
Model_06,Brand_A,23999.0,2100.0,鸿蒙操作系统,32.0,1024.0,无,无,2
Model_06,Brand_A,26999.0,2100.0,鸿蒙操作系统,32.0,2048.0,无,无,2
Model_07,Brand_B,9688.0,44.0,酷睿i9 RTX40系,16.0,1024.0,4080,12GB GDDR6,2
Model_07,Brand_B,10338.0,44.0,酷睿i9 RTX40系,32.0,1024.0,4080,12GB GDDR6,2
Model_08,Brand_C,18499.0,200.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5080,16GB GDDR7,2
Model_08,Brand_C,20299.0,200.0,AI 酷睿Ultra RTX50系,64.0,3072.0,5080,16GB GDDR7,2
Model_09,Brand_C,8799.0,20000.0,AI 酷睿Ultra,32.0,1024.0,无,无,3
Model_09,Brand_C,10099.0,20000.0,AI 酷睿Ultra,64.0,1024.0,无,无,3
Model_09,Brand_C,13099.0,20000.0,AI 酷睿Ultra,64.0,2048.0,无,无,3
Model_10,Brand_D,27399.0,100.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5070,12GB GDDR7,2
Model_10,Brand_D,31699.0,100.0,AI 酷睿Ultra RTX50系,64.0,2048.0,5070,12GB GDDR7,2
Model_11,Brand_D,16899.0,2000.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5070,12GB GDDR7,2
Model_11,Brand_D,20599.0,2000.0,AI 酷睿Ultra RTX50系,64.0,4096.0,5070,12GB GDDR7,2
Model_11,Brand_D,13499.0,2000.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5060,8GB GDDR7,3
Model_11,Brand_D,15099.0,2000.0,AI 酷睿Ultra RTX50系,64.0,2048.0,5060,8GB GDDR7,3
Model_11,Brand_D,16699.0,2000.0,AI 酷睿Ultra RTX50系,64.0,4096.0,5060,8GB GDDR7,3
Model_12,Brand_G,6999.0,2000.0,酷睿i9 RTX40系,16.0,1024.0,4060,8GB GDDR6,2
Model_12,Brand_G,7999.0,2000.0,酷睿i9 RTX40系,16.0,1024.0,4060,8GB GDDR6,2
Model_13,Brand_E,10299.0,50000.0,酷睿i9 RTX40系 P图设计专业电竞游戏,32.0,1024.0,4060,8GB GDDR6,2
Model_13,Brand_E,11299.0,50000.0,酷睿i9 RTX40系 P图设计专业电竞游戏,32.0,2048.0,4060,8GB GDDR6,2
Model_14,Brand_E,13399.0,500.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5070,12GB GDDR7,2
Model_14,Brand_E,16199.0,500.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5070,12GB GDDR7,2
Model_14,Brand_E,19999.0,500.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5080,16GB GDDR7,2
Model_14,Brand_E,24199.0,500.0,AI 酷睿Ultra RTX50系,64.0,2048.0,5080,16GB GDDR7,2
Model_14,Brand_E,34499.0,500.0,AI 酷睿Ultra RTX50系,64.0,2048.0,5090,24GB GDDR7,2
Model_14,Brand_E,36499.0,500.0,AI 酷睿Ultra RTX50系,64.0,4096.0,5090,24GB GDDR7,2
Model_14,Brand_E,11299.0,500.0,AI 酷睿Ultra RTX50系,32.0,1024.0,5060,8GB GDDR7,2
Model_14,Brand_E,14499.0,500.0,AI 酷睿Ultra RTX50系,64.0,2048.0,5060,8GB GDDR7,2
